,dyad,ec,ec_avg
363,D001,0.0,0.0
364,D001,0.0,0.0
365,D001,0.0,0.541
366,D001,0.0,0.0
367,D001,0.0,0.07
368,D001,1.0,1.0
369,D001,1.0,0.957
370,D001,0.0,0.0
371,D001,0.0,0.0
372,D001,0.0,0.0
373,D001,0.0,0.33
374,D001,1.0,0.098
375,D001,0.0,0.0
376,D001,0.0,0.0
377,D001,0.0,0.0
378,D001,0.0,0.733
379,D001,1.0,1.0
380,D001,1.0,1.0
381,D001,1.0,1.0
382,D001,1.0,1.0
383,D001,1.0,0.295
384,D001,0.0,0.0
385,D001,0.0,0.0
386,D001,0.0,0.125
387,D001,1.0,0.229
388,D001,1.0,0.426
389,D001,0.0,0.244
390,D001,1.0,0.201
391,D001,1.0,0.507
392,D001,0.0,0.579
393,D001,1.0,1.0
394,D001,1.0,1.0
395,D001,1.0,0.283
396,D001,1.0,0.796
397,D001,0.0,0.859
398,D001,1.0,1.0
399,D001,1.0,0.752
400,D001,0.0,0.5
401,D001,1.0,1.0
402,D001,1.0,1.0
403,D001,1.0,1.0
404,D001,1.0,1.0
405,D001,1.0,0.045
406,D001,1.0,0.382
407,D001,0.0,0.519
408,D001,1.0,1.0
409,D001,1.0,1.0
410,D001,1.0,1.0
411,D001,1.0,1.0
412,D001,1.0,1.0
413,D001,1.0,1.0
414,D001,1.0,0.797
415,D001,0.0,0.0
416,D001,0.0,0.0
417,D001,0.0,0.0
418,D001,0.0,0.0
419,D001,0.0,0.247
420,D001,1.0,1.0
421,D001,1.0,0.417
422,D001,0.0,0.0
423,D001,0.0,0.0
424,D001,0.0,0.0
425,D001,0.0,0.401
426,D001,1.0,1.0
427,D001,1.0,0.045
428,D001,0.0,0.0
429,D001,0.0,0.0
430,D001,0.0,0.0
431,D001,0.0,0.6
432,D001,1.0,0.09
433,D001,0.0,0.634
434,D001,1.0,1.0
435,D001,1.0,0.537
436,D001,0.0,0.0
437,D001,0.0,0.0
438,D001,0.0,0.0
439,D001,0.0,0.285
440,D001,1.0,0.844
441,D001,0.0,0.0
442,D001,0.0,0.0
443,D001,0.0,0.0
444,D001,0.0,0.0
445,D001,0.0,0.0
446,D001,0.0,0.372
447,D001,0.0,0.0
448,D001,0.0,0.0
449,D001,0.0,0.0
450,D001,0.0,0.156
451,D001,1.0,1.0
452,D001,1.0,1.0
453,D001,1.0,0.299
454,D001,0.0,0.0
455,D001,0.0,0.287
