,dyad,dtw,ec,engage_mean
392,D001,12.932301531953673,0.0,87.0
393,D001,19.344911483929156,1.0,87.5
394,D001,23.613606277004678,1.0,88.0
395,D001,18.272574818930355,1.0,88.0
396,D001,34.44246484146031,1.0,88.0
397,D001,40.960703155531725,0.0,88.0
398,D001,38.30552983200215,1.0,87.5
399,D001,17.461149076808486,1.0,88.0
400,D001,7.140574198830372,0.0,88.0
401,D001,12.111280410621875,1.0,88.0
402,D001,14.83254425280543,1.0,88.0
403,D001,11.262973290941611,1.0,88.0
404,D001,7.75026434489164,1.0,88.0
405,D001,21.434088824259604,1.0,88.0
406,D001,15.143027276915308,1.0,88.0
407,D001,19.74094194985587,0.0,88.0
408,D001,53.17786214493275,1.0,88.0
409,D001,91.76710233685981,1.0,88.0
410,D001,97.6589988979957,1.0,88.0
411,D001,67.34570256435599,1.0,88.0
412,D001,23.857099485639417,1.0,88.0
413,D001,5.397998307486068,1.0,88.0
414,D001,6.0137936854514,1.0,88.0
415,D001,22.84347482128418,0.0,91.0
416,D001,11.296618245845954,0.0,91.0
417,D001,7.028253797151377,0.0,91.0
418,D001,14.753908613822663,0.0,91.0
419,D001,28.855437227822232,0.0,91.0
420,D001,32.07686095885846,1.0,91.0
421,D001,10.916837200262098,1.0,91.0
422,D001,30.33031669096863,0.0,90.0
423,D001,39.74361965789831,0.0,90.0
424,D001,59.07981174315527,0.0,90.0
425,D001,42.956441207572695,0.0,87.5
426,D001,36.06005936003307,1.0,87.5
427,D001,30.631897028753006,1.0,84.5
428,D001,16.794256921489904,0.0,79.5
429,D001,18.854495530032167,0.0,79.5
430,D001,19.278682802104264,0.0,78.5
431,D001,22.77601974717945,0.0,78.5
432,D001,8.716571259032818,1.0,78.5
433,D001,12.008845005302325,0.0,78.5
434,D001,35.70439987059097,1.0,78.0
435,D001,49.40999761576755,1.0,77.0
436,D001,62.857412696083045,0.0,77.0
437,D001,56.28986522159091,0.0,77.0
438,D001,28.711865474654772,0.0,77.0
439,D001,15.145557394836716,0.0,77.0
440,D001,43.05994657940336,1.0,77.0
441,D001,8.094602117035876,0.0,79.5
442,D001,14.261865299084839,0.0,77.0
443,D001,52.41676522311434,0.0,75.0
444,D001,23.950849181656007,0.0,73.5
445,D001,5.8035108716684,0.0,73.0
446,D001,20.57033586342195,0.0,73.0
447,D001,22.394198958297252,0.0,73.0
448,D001,78.6598963534068,0.0,72.5
449,D001,64.97086273614084,0.0,72.5
450,D001,16.10554059578059,0.0,72.5
451,D001,20.65914041775154,1.0,72.5
452,D001,8.779399830261719,1.0,72.5
453,D001,39.64598259094482,1.0,72.5
454,D001,31.308372664435872,0.0,72.5
455,D001,23.386500123042303,0.0,72.5
456,D001,22.122751694881345,0.0,73.0
457,D001,15.2515311901568,0.0,73.0
458,D001,7.222598051842297,1.0,71.0
459,D001,10.45529800989815,1.0,70.5
460,D001,22.37392647915478,0.0,70.5
461,D001,19.751257451128613,0.0,70.5
462,D001,13.493227103786772,1.0,70.5
463,D001,51.67053941801738,0.0,70.5
464,D001,38.019355408387625,0.0,70.5
465,D001,36.90968941068514,0.0,70.5
466,D001,25.952942142153308,0.0,70.5
467,D001,24.258917314518577,1.0,70.5
468,D001,26.497028692130417,0.0,70.5
469,D001,44.97056379762137,0.0,70.5
470,D001,14.159370046446131,1.0,70.5
471,D001,6.954465205807875,1.0,70.5
