,dyad,subject,dtw,ec,psize
157,D001,S028,34.86356042109923,0.0,-0.2941621961290876
158,D001,S028,21.70555016492102,0.0,-0.24093909113452738
159,D001,S028,19.32921135875982,0.0,-0.18951450403034714
160,D001,S028,37.458486738580596,0.0,-0.13905955929870212
161,D001,S028,38.937254075178245,0.039,-0.3329587365302379
162,D001,S028,49.00124809342961,0.08,-0.46535437882992275
163,D001,S028,39.1738774875344,1.0,-0.2662928107210634
164,D001,S028,15.877581762411765,0.713,-0.09647453917244295
165,D001,S028,21.5983044425571,0.259,-0.18304652120642756
166,D001,S028,49.657225524110274,0.0,-0.141649360741628
167,D001,S028,57.26817836463165,0.0,-0.23074190905977957
168,D001,S028,31.808760395862326,0.0,-0.28465285327309264
169,D001,S028,35.53521608109526,0.033,-0.397549479530575
170,D001,S028,50.880287244411804,0.795,-0.5440572517751647
171,D001,S028,32.3762068878151,0.0,-0.27809727923919386
172,D001,S028,23.508963434286457,0.0,0.0009252262405703575
173,D001,S028,18.837897152745295,0.822,-0.16527956285479142
174,D001,S028,15.378020762292326,0.41,-0.03874754962866901
175,D001,S028,4.258693137187866,1.0,0.18319891745438213
176,D001,S028,26.02267952930383,1.0,0.280473037023206
177,D001,S028,10.570013033785454,1.0,0.04752008864190443
178,D001,S028,39.95958250029932,1.0,-0.44613823027905913
179,D001,S028,42.53033370195095,1.0,-0.4278510141445052
180,D001,S028,26.599272408342372,1.0,-0.2949396740725755
181,D001,S028,13.418713191246425,0.259,-0.06409112920193868
182,D001,S028,22.33692454378584,0.773,-0.07116116273394928
183,D001,S028,12.664123254760707,0.626,-0.2513597967075553
184,D001,S028,39.54670452274725,0.0,-0.6442352143230732
185,D001,S028,43.04324263823627,0.0,-0.5729714627803688
186,D001,S028,16.110979276937087,0.0,-0.2047243364526856
187,D001,S028,3.6148954882004647,0.0,0.08224786710769626
188,D001,S028,19.417662984534097,0.0,-0.17314466355138325
189,D001,S028,33.894507181731704,0.0,-0.25917054095559305
190,D001,S028,32.98538533457948,0.87,-0.018118186196285364
191,D001,S028,19.75827556748437,1.0,0.025366346954404075
192,D001,S028,10.866044320510792,0.108,0.10511048955876756
193,D001,S028,4.730587063974617,0.045,0.17324052329690703
194,D001,S028,15.554979372159393,0.0,-0.13804510408175993
195,D001,S028,7.203963931887548,0.0,0.043349257861606656
196,D001,S028,5.575511552316824,0.947,0.16689824894531988
197,D001,S028,3.653060660524924,0.629,0.06527890217091509
198,D001,S028,2.599737805030092,0.556,0.0747329854098897
199,D001,S028,17.955311020479762,1.0,0.36471474377589586
200,D001,S028,7.036297769241805,1.0,0.12992849528007483
201,D001,S028,2.9632581276321766,1.0,0.02956646938215137
202,D001,S028,6.17029897118022,0.888,0.2854405805228313
203,D001,S028,35.86223908284955,0.79,0.32157317570126465
204,D001,S028,62.514712561268794,0.057,0.557464338405088
205,D001,S028,36.24112162520286,0.0,0.44088613699479967
206,D001,S028,28.264720976664492,0.0,0.4498895774927314
207,D001,S028,39.24359721734742,0.0,0.3511978308219394
208,D001,S028,93.11461487785965,0.0,0.12812973704031733
209,D001,S028,83.99937083844705,0.0,0.20630016418849362
210,D001,S028,54.69259563422365,0.0,0.10381297071274156
211,D001,S028,4.808065771406266,0.0,0.023428694809079668
212,D001,S028,35.816112197448675,0.615,-0.211922609967243
213,D001,S028,15.32769046904206,0.0,-0.18756854507150642
214,D001,S028,5.636868440705237,0.0,-0.18101496345538956
215,D001,S028,10.382229599762121,0.0,-0.18462862244278574
216,D001,S028,14.069289336056483,0.668,-0.18627663214749354
217,D001,S028,26.534388418769623,1.0,-0.28600701959723174
218,D001,S028,20.176129320393766,1.0,-0.20863567537998506
219,D001,S028,21.693166162237265,1.0,-0.16595551527449087
220,D001,S028,15.81401910966017,1.0,-0.3456603054523268
221,D001,S028,19.785699140661055,0.216,-0.2953166432937018
222,D001,S028,26.706471956924982,0.0,-0.3245960380088949
223,D001,S028,22.59666862527856,0.365,-0.1394377253000711
224,D001,S028,27.452969870566033,0.231,-0.011328689651884027
225,D001,S028,32.01468071747932,0.049,-0.023742992114721397
226,D001,S028,19.211193075665726,0.66,0.008618056715591637
227,D001,S028,68.10814423212176,0.138,0.05699740425182021
228,D001,S028,49.6350748662795,0.0,-0.0024652044080963444
229,D001,S028,23.7721057125684,0.0,-0.08557064455600678
230,D001,S028,25.829974661823776,0.0,0.2534888124273153
231,D001,S028,16.563671409003604,0.201,0.31182836537382536
232,D001,S028,23.080479395264778,0.715,0.42380487287815305
233,D001,S028,23.709811871167616,0.0,0.4688963861753023
234,D001,S028,20.950912314298453,0.0,0.43538933750889774
235,D001,S028,15.014203453394963,0.0,0.4065721517036757
236,D001,S028,8.695906065838013,0.458,0.18014028376691352
237,D001,S028,25.156885449907353,0.628,-0.06583643079253651
238,D001,S028,17.0221681468246,0.0,0.04813438427157535
239,D001,S028,3.748794991125531,0.0,-0.003169327657194132
240,D001,S028,22.419960687693525,0.0,-0.06279457049047653
241,D001,S028,40.65888872001868,0.54,-0.20990252018946656
242,D001,S028,18.240710607173035,0.59,-0.11451107497328855
243,D001,S028,2.749889254960393,0.917,0.06442790990956808
244,D001,S028,11.581430022614235,1.0,0.10790930588338338
245,D001,S028,5.201529507435527,0.338,0.24225754169593142
