,dyad,time,onset,offset
129,D015,-1,1.735851002995868,-0.15417884484445107
130,D015,0,-0.0566533011101209,0.17857179405814616
131,D015,1,0.5274035434470369,0.4357682223153923
132,D015,2,-0.0992388983577626,-1.703697630511658
133,D015,3,-1.0733340754895626,-0.0029333425286022785
134,D015,4,-0.46250841844875695,1.6114928565635491
135,D016,-4,0.9231154511986455,0.9431716271740511
136,D016,-3,1.451339176051644,-0.5875052420942927
137,D016,-2,0.17217292707866533,0.7766062258093687
138,D016,-1,1.1392049797574253,1.003841134977369
139,D016,0,0.22180425070200374,-1.027961525850521
140,D016,1,-1.7116589464613456,-1.9886784767208128
141,D016,2,-0.623115256847035,-0.17616311046072441
142,D016,3,-0.5520741817834864,1.0544501790577558
143,D016,4,-1.020788399696533,0.002239188107800643
144,D017,-4,1.1056802153170115,-0.7294395005148165
145,D017,-3,-0.48051629255917744,2.352392436092244
146,D017,-2,0.11815618237838767,0.05106618850752409
147,D017,-1,-0.034650633778147207,0.6817436178678351
148,D017,0,0.11152492646165592,-0.13666966863438434
149,D017,1,1.411231761144724,-0.48219663175196087
150,D017,2,-0.08859919612893065,-1.4401032638494708
151,D017,3,0.19817255296869354,-0.3693638147940833
152,D017,4,-2.340999515804202,0.07257063707708858
153,D018,-4,-0.20596283237705362,0.8772725106482795
154,D018,-3,-1.5353687675749839,1.0940192748267097
155,D018,-2,0.08232148740426672,0.7326549862198306
156,D018,-1,1.5298457544197719,-0.5006077083488487
157,D018,0,1.4296605732772263,-2.0048110169061406
158,D018,1,-0.48597605808245675,-0.30557967236483125
159,D018,2,-1.3491183092071786,-0.8221926320841506
160,D018,3,0.1969523936924657,-0.25152347156546456
161,D018,4,0.3376457584479439,1.1807677295746188
162,D019,-4,-1.4831690825865698,0.8418602911054898
163,D019,-3,-0.553665949644487,-0.20448831987448027
164,D019,-2,0.2048729036416439,1.0513927589246568
165,D019,-1,-0.7296832733447048,0.13495053357319578
166,D019,0,0.851874246039269,-0.9730094354052465
167,D019,1,1.7920996501872886,-1.8061002661029055
168,D019,2,1.0565615342843473,0.8829737914994786
169,D019,3,-0.23998751245662972,-0.9969418372847773
170,D019,4,-0.898902516120179,1.0693624835646085
171,D020,-4,-0.19644888834948482,1.3177948460104592
172,D020,-3,0.5482021915894284,1.2903550511319808
173,D020,-2,1.1779677570702731,1.0206848366009755
174,D020,-1,0.9111995271672378,-0.7413052256120289
