,dyad,subject,ind_ec
931,D001,S029,0.0
932,D001,S029,0.0
933,D001,S029,0.0
934,D001,S029,1.0
935,D001,S029,1.0
936,D001,S029,0.0
937,D001,S029,1.0
938,D001,S029,0.0
939,D001,S029,1.0
940,D001,S029,1.0
941,D001,S029,1.0
942,D001,S029,1.0
943,D001,S029,1.0
944,D001,S029,1.0
945,D001,S029,0.0
946,D001,S029,1.0
947,D001,S029,0.0
948,D001,S029,0.0
949,D001,S029,0.0
950,D001,S029,1.0
951,D001,S029,1.0
952,D001,S029,0.0
953,D001,S029,0.0
954,D001,S029,1.0
955,D001,S029,1.0
956,D001,S029,0.0
957,D001,S029,0.0
958,D001,S029,0.0
959,D001,S029,1.0
960,D001,S029,1.0
961,D001,S029,1.0
962,D001,S029,1.0
963,D001,S029,1.0
964,D001,S029,0.0
965,D001,S029,0.0
966,D001,S029,0.0
967,D001,S029,0.0
968,D001,S029,1.0
969,D001,S029,1.0
970,D001,S029,0.0
971,D001,S029,0.0
972,D001,S029,0.0
973,D001,S029,0.0
974,D001,S029,1.0
975,D001,S029,0.0
976,D001,S029,0.0
977,D001,S029,0.0
978,D001,S029,0.0
979,D001,S029,1.0
980,D001,S029,1.0
981,D001,S029,1.0
982,D001,S029,1.0
983,D001,S029,1.0
984,D001,S029,0.0
985,D001,S029,0.0
986,D001,S029,0.0
987,D001,S029,1.0
988,D001,S029,1.0
989,D001,S029,0.0
990,D001,S029,1.0
991,D001,S029,1.0
992,D001,S029,1.0
993,D001,S029,1.0
994,D001,S029,1.0
995,D001,S029,1.0
996,D001,S029,1.0
997,D001,S029,0.0
998,D001,S029,1.0
999,D001,S029,1.0
1000,D001,S029,0.0
1001,D001,S029,1.0
1002,D001,S029,1.0
1003,D001,S029,1.0
1004,D001,S029,1.0
1005,D001,S029,1.0
1006,D001,S029,1.0
1007,D001,S029,0.0
1008,D001,S029,1.0
1009,D001,S029,1.0
1010,D001,S029,1.0
1011,D001,S029,1.0
1012,D001,S029,1.0
1013,D001,S029,1.0
1014,D001,S029,1.0
1015,D001,S029,0.0
1016,D001,S029,0.0
1017,D001,S029,0.0
1018,D001,S029,0.0
1019,D001,S029,0.0
1020,D001,S029,1.0
1021,D001,S029,1.0
1022,D001,S029,0.0
1023,D001,S029,0.0
1024,D001,S029,0.0
1025,D001,S029,0.0
1026,D001,S029,1.0
1027,D001,S029,1.0
1028,D001,S029,0.0
1029,D001,S029,0.0
1030,D001,S029,0.0
1031,D001,S029,1.0
1032,D001,S029,1.0
1033,D001,S029,1.0
1034,D001,S029,1.0
1035,D001,S029,1.0
1036,D001,S029,0.0
1037,D001,S029,0.0
1038,D001,S029,0.0
1039,D001,S029,0.0
1040,D001,S029,1.0
1041,D001,S029,0.0
1042,D001,S029,0.0
1043,D001,S029,0.0
1044,D001,S029,0.0
1045,D001,S029,0.0
1046,D001,S029,0.0
1047,D001,S029,0.0
1048,D001,S029,0.0
1049,D001,S029,0.0
1050,D001,S029,0.0
1051,D001,S029,1.0
1052,D001,S029,1.0
1053,D001,S029,1.0
1054,D001,S029,0.0
1055,D001,S029,0.0
1056,D001,S029,0.0
1057,D001,S029,0.0
1058,D001,S029,1.0
1059,D001,S029,1.0
1060,D001,S029,0.0
1061,D001,S029,0.0
1062,D001,S029,1.0
1063,D001,S029,0.0
1064,D001,S029,0.0
1065,D001,S029,0.0
1066,D001,S029,0.0
1067,D001,S029,1.0
1068,D001,S029,0.0
1069,D001,S029,0.0
1070,D001,S029,1.0
1071,D001,S029,1.0
1072,D001,S029,0.0
1073,D001,S029,0.0
1074,D001,S029,0.0
1075,D001,S029,0.0
1076,D001,S029,1.0
1077,D001,S029,1.0
1078,D001,S029,1.0
1079,D001,S029,0.0
1080,D001,S029,0.0
1081,D001,S029,0.0
1082,D001,S029,0.0
1083,D001,S029,0.0
1084,D001,S029,0.0
1085,D001,S029,1.0
1086,D001,S029,0.0
1087,D001,S029,0.0
1088,D001,S029,0.0
1089,D001,S029,0.0
1090,D001,S029,0.0
1091,D001,S029,0.0
1092,D001,S029,0.0
1093,D001,S029,1.0
1094,D001,S029,1.0
1095,D001,S029,1.0
1096,D001,S029,1.0
1097,D001,S029,0.0
1098,D001,S029,1.0
1099,D001,S029,1.0
1100,D001,S029,1.0
1101,D001,S029,1.0
1102,D001,S029,1.0
1103,D001,S029,1.0
1104,D001,S029,1.0
1105,D001,S029,1.0
1106,D001,S029,1.0
1107,D001,S029,1.0
1108,D001,S029,1.0
1109,D001,S029,0.0
1110,D001,S029,1.0
1111,D001,S029,0.0
1112,D001,S029,1.0
1113,D001,S029,1.0
1114,D001,S029,1.0
1115,D001,S029,1.0
1116,D001,S029,1.0
1117,D001,S029,1.0
1118,D001,S029,1.0
1119,D001,S029,0.0
1120,D001,S029,1.0
1121,D001,S029,1.0
1122,D001,S029,1.0
1123,D001,S029,1.0
1124,D001,S029,1.0
1125,D001,S029,1.0
1126,D001,S029,1.0
1127,D001,S029,1.0
1128,D001,S029,1.0
1129,D001,S029,1.0
1130,D001,S029,1.0
1131,D001,S029,1.0
1132,D001,S029,1.0
1133,D001,S029,0.0
1134,D001,S029,1.0
1135,D001,S029,1.0
1136,D001,S029,1.0
1137,D001,S029,1.0
1138,D001,S029,1.0
1139,D001,S029,1.0
1140,D001,S029,1.0
1141,D001,S029,0.0
1142,D001,S029,0.0
1143,D001,S029,1.0
1144,D001,S029,0.0
1145,D001,S029,0.0
1146,D001,S029,0.0
1147,D001,S029,0.0
1148,D001,S029,1.0
1149,D001,S029,0.0
