,dyad,time,onset,offset
117,D014,-4,1.246714075723942,1.9090506861523928
118,D014,-3,-0.2765345108046378,-0.35129177023232444
119,D014,-2,-0.754864861695398,-1.5207218471559583
120,D014,-1,1.1704639406956865,-1.0656121090932902
121,D014,0,-0.6156347728461854,-0.7753483497509226
122,D014,1,-1.0633304048133965,0.6138631131858069
123,D014,2,1.633530582987315,0.5236243562946925
124,D014,3,-1.090329678228424,-0.060324665456953926
125,D014,4,-0.2500143710188984,0.7267605860565534
126,D015,-4,,
127,D015,-3,,
128,D015,-2,,
129,D015,-1,,
130,D015,0,,
131,D015,1,,
132,D015,2,,
133,D015,3,,
134,D015,4,,
135,D016,-4,0.9100951381945644,0.06100404646895763
136,D016,-3,0.2745090300100238,-0.38188252444245485
137,D016,-2,-0.7110413985215689,-0.11017008261186345
138,D016,-1,0.9757026468210678,1.4580392927981543
139,D016,0,1.0133663565624256,1.3867922782461435
140,D016,1,-2.187615356295739,0.29019802423694846
141,D016,2,0.30842063807833225,0.3269149839325981
142,D016,3,0.23785729257707017,-1.5653567086113065
143,D016,4,-0.8212943474261524,-1.4655393100171668
144,D017,-4,-0.2690202532564331,-0.8249826535327102
145,D017,-3,-1.5940125669547034,0.14096672751396072
146,D017,-2,0.03358333443934732,0.3863604790501629
147,D017,-1,-0.8707226928382633,1.8428923092660192
148,D017,0,-0.82681005409797,1.5240803195603898
149,D017,1,1.1009910986446647,-0.7389403484634106
150,D017,2,1.2999922729646927,-0.918609561255005
151,D017,3,1.401972999660668,-0.8554913219531389
152,D017,4,-0.2759741385619801,-0.5562759501862824
153,D018,-4,0.9065977729154041,0.7728899064329011
154,D018,-3,-1.969257695863876,-0.13924254363994118
155,D018,-2,-0.25353228717473014,0.9143849661972808
156,D018,-1,0.5398860302261989,0.3129453109601325
157,D018,0,0.999040952886482,0.022464943549194063
158,D018,1,-0.36255848761308723,-0.7133153812277993
159,D018,2,-1.321663995600142,-0.6516193263789423
160,D018,3,0.7356782159827018,-2.045431646146022
161,D018,4,0.7258094942410375,1.526923770253212
162,D019,-4,-0.42566256755693055,1.4310920675120808
163,D019,-3,-2.352739549578234,-0.4596061115162086
164,D019,-2,-0.26085264474817144,0.37952206288585955
165,D019,-1,1.0800910360220084,0.6383571233069654
166,D019,0,0.15181116327107402,-1.2012967616704144
167,D019,1,1.2285187303722758,-1.5679947579425901
168,D019,2,0.6078386545516969,0.5835648385166389
169,D019,3,0.2562316576795709,-0.8835657826658567
170,D019,4,-0.285236480013292,1.079927321573504
171,D020,-4,,
172,D020,-3,,
173,D020,-2,,
174,D020,-1,,
175,D020,0,,
176,D020,1,,
177,D020,2,,
178,D020,3,,
179,D020,4,,
180,D021,-4,-1.5212813654359882,1.772286255984723
181,D021,-3,-1.288159661684163,1.1491068964927105
182,D021,-2,-0.9059893686008083,-0.38302333261420035
183,D021,-1,-0.3913476857513598,-1.6214181558499714
184,D021,0,1.3872663039268065,-0.05674120822459519
185,D021,1,0.37818311301372354,-0.9660816042063085
186,D021,2,1.0811384053723663,-0.6779156171282352
187,D021,3,0.7348512387943905,0.21928487158604948
188,D021,4,0.5253390203650178,0.564501893959839
189,D022,-4,-1.1260736960612252,0.5289861634035252
190,D022,-3,0.0672572058636824,-0.9935720901898377
191,D022,-2,0.6864732803715314,0.7184384276876464
192,D022,-1,1.535208389205592,0.34327149773076115
193,D022,0,0.563144595405844,-1.1703356615196991
194,D022,1,0.7922559923504277,0.31320526551686323
195,D022,2,0.04367090992644323,2.011551124886332
196,D022,3,-0.7018069505809119,-1.0353398287112028
197,D022,4,-1.8601297264813788,-0.7162048988043483
198,D023,-4,,
199,D023,-3,,
200,D023,-2,,
201,D023,-1,,
202,D023,0,,
203,D023,1,,
204,D023,2,,
205,D023,3,,
206,D023,4,,
207,D024,-4,-0.07890195503462402,1.1813365033092622
208,D024,-3,2.070646716599696,-1.5155671219624334
209,D024,-2,0.8612748737594599,-0.5264119190672621
